Fault_Node,Fault_Type,Detected,Test_Cube,Solve_Time_s
G118gat,sa0,YES,G1gat=0 G4gat=1 G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.005977
G118gat,sa1,YES,G1gat=1 G4gat=1 G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.005679
G119gat,sa0,YES,G1gat=X G4gat=0 G8gat=0 G11gat=1 G14gat=0 G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.009537
G119gat,sa1,YES,G1gat=1 G4gat=1 G8gat=0 G11gat=1 G14gat=0 G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008924
G122gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=0 G14gat=X G17gat=1 G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004951
G122gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=1 G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.003906
G123gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=X G14gat=X G17gat=0 G21gat=0 G24gat=1 G27gat=0 G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007492
G123gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=1 G21gat=0 G24gat=1 G27gat=0 G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.009455
G126gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=0 G27gat=X G30gat=1 G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004002
G126gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=1 G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.005417
